Date,Underlying,kappa,theta,sigma,rho,v0,lam,mu_j,sigma_j,rmse_volpts,feller,lambda1,lambda2,lambda3,lambda4,lambda5,lambda6,lambda7,lambda8,condition_number,ev1_kappa,ev1_theta,ev1_sigma,ev1_rho,ev1_v0,ev1_lam,ev1_mu_j,ev1_sigma_j,ev8_kappa,ev8_theta,ev8_sigma,ev8_rho,ev8_v0,ev8_lam,ev8_mu_j,ev8_sigma_j
2019-12-31,CO1,1.271378013397086,0.0011188265091270587,0.16771063777959724,-0.9988543729791148,0.046789799762939704,5.677198210361342,-0.04355322414270941,0.04837630690907545,1.0187713169736463,False,9.313601923258613,0.8462978209457633,0.04751700486970488,0.006055448824354186,0.001433346032785461,1.6913658406562905e-05,-1.1097911126463447e-06,-5.355032649355754e-06,550655.6712558835,-0.006056947804219684,0.2852831802425845,-0.008935873364061073,0.0008309891856582676,0.689044457976434,0.003984378289072883,-0.4514185109943903,0.48981574869678113,-0.06462024776513721,-0.001129161854159731,0.1510426416632933,0.9852127128147108,-0.000874186383973948,-0.048542317130882015,-0.0028032946675794253,-1.626865129722253e-05
2020-01-31,CO1,2.7525582478495543,0.001,0.55420783760216,-0.3436429560349816,0.13944332407702995,5.6835792893211865,-0.0520425515876618,0.029504252718425553,0.6619203355842871,False,5.59409393425985,0.7795683251727461,0.004632759276888159,0.0007078030266783262,0.0003202543373455295,6.430526226275252e-05,1.6537147262125835e-06,-8.115360699674487e-09,3382744.2215935946,-0.009629053284098191,0.5472939206658747,-0.011119085429453127,0.0029419858114884956,0.465781260552795,0.003730148791920331,-0.6091764410270655,0.334936297524114,-0.05138324961197351,-0.0013937135914576081,0.04060044750996659,0.019378706262437748,-0.001197341622823536,0.9976567842535083,0.0034761073035114182,-0.0011456488663662294
2020-03-02,CO1,2.7873324503271104,0.001,2.0,-0.965852791939938,0.24842803059703472,5.681519718072196,0.05637920247878484,0.036064571679264884,2.3548013530641296,False,5.4504093435356,0.5000583739141577,0.11212100518955026,0.01803902995404497,0.0042441471028373985,0.00019401764700807838,1.6918829338701788e-05,3.8784398756323494e-08,140530974.26570144,-0.005685020170729884,0.352644150914028,-0.02087794975211748,0.05146347505559451,0.28929568094131947,0.0054174642670586455,0.7580880005021319,0.46271659672571247,-0.04036763033918988,0.0003299411174637377,0.014180593358460138,0.0055603674180886116,0.0003179110019860513,-0.9990485249527954,0.006334611544941005,0.00039378248834890647
2020-04-01,CO1,10.07459429131827,0.019535045230922768,2.0,-0.999,1.9531808282724676,5.644878799470382,-0.0006103393134797339,0.01,5.938102052930639,False,1.231922118295048,0.054529214117808554,0.009196452123012679,0.007153954031666857,0.0008358306438216079,0.0002878641524744076,-2.6390839740626365e-08,-2.4105853799233855e-05,4279.5259767697935,-0.01872363964394039,0.9796985696771441,-0.02566027142237838,0.03447100291350678,0.14165972422896964,0.00011963816127470398,-0.007927120600116104,0.13365293598265407,0.8724416702564561,-0.0050721116127213604,-0.4293379688551645,0.23264083496279406,0.018889468342503844,0.0009297038819089047,0.00017129102154927802,-0.003041444864743495
2020-05-01,CO1,10.093971506329073,0.04896662100730284,2.0,-0.999,1.7272743301892879,5.644854092174738,0.0006756666758500652,0.010752589435832472,2.1869769264858765,False,1.1460688302403852,0.05824098915985379,0.00719750191422108,0.005837012727135415,0.0009251542457337826,0.00017095564017895163,2.4934167082945907e-05,-2.3849407598831245e-08,45963.79042571893,-0.017365055282910345,0.9755174061597698,-0.027571562309728424,0.03680063230041871,0.15771413884603783,0.00013933257247854947,0.009387788235932983,0.1448719019511775,-0.0006386309706302279,-0.00012070660130581637,0.00014871185726750887,-7.454635189309229e-05,-0.0001385631634028535,-0.9999979699436127,1.9238529629840074e-05,0.0018948474362809897
2020-06-01,CO1,0.01,0.001,2.0,-0.7942064964743615,0.2913259673267404,5.573854417704471,-0.08057724969471836,0.010659142793053715,1.5774738679487268,False,4.205435007861679,0.20927733930182688,0.0025034104985043075,0.0005213975852965582,0.00024143076938798304,4.663351865609223e-08,-0.00027998769380168227,-0.000417914326575027,90180520.9869635,-0.02098783680500512,0.0019405285064112432,-0.038636009899072205,0.06114300942006979,0.47445470114277866,0.006375765337987348,-0.8694963907154617,0.11468499860991116,0.44845367250278223,-0.4078177181506083,0.03486863570409711,0.12892673086233702,-0.00579625150348859,0.004373487949267724,0.09529486054457305,0.7782045067460999
2020-07-01,CO1,0.5472396218128317,0.001,1.7965066029428356,-0.40870361756269735,0.15604266100646588,5.624231199996378,-0.08251438893863725,0.10919481828245507,1.0383504261565166,False,6.038610684933032,0.2745257271122603,0.012919052165477252,0.0036072777159180834,0.0008583753525201358,0.0005152736362749468,6.776117750550507e-07,-0.00016106445876152659,8911608.250081608,-0.008030985080803963,0.07036806800155859,-0.009055652123093519,0.00925351401785715,0.4013088365273282,0.012076452083939851,-0.5674830441796266,0.7152514086152346,0.7836842099413193,-0.4605228211829615,-0.22989594068390717,0.3288825466074224,-0.08214323332631521,-0.004742057302995247,-0.025338253476070785,0.07300611121289975
2020-07-31,CO1,0.4728532467404438,0.0024299014086100754,1.6202265711178132,-0.4082499230281262,0.04331820492063056,5.561705104670055,-0.08009732998221207,0.13926277989562952,1.190440876437952,False,89663578.95941234,8705302.463364935,6.20347586895289,0.14970032220899568,0.005247051836147104,1.709703802763788e-05,-358070.1079240002,-13631923.256930333,5244392555860.755,-0.3452110809419448,-0.00041212792182221403,0.29124148167633074,0.8920391221519081,-0.016511458979839345,-1.6362825653922477e-05,0.00038498690642630666,-0.0009833039187106063,0.9061796491768218,0.000191886533896235,-0.14356869258916272,0.3977011016135356,0.007747256669918122,7.781899803797278e-06,-0.0001813470426540244,0.0004668487242109669
2020-09-01,CO1,13.267824347332636,0.059060935574075206,0.7387914818702024,-0.999,0.02335528566132879,3.0868605882734537,-0.07078904598451223,0.11577098205309808,2.241361971079267,True,5.431225474480764,0.3678456644458578,0.07555376305711643,0.041073989049376224,0.0001734533621629596,2.0663589048302582e-05,1.7140657715164394e-06,4.198053683036152e-07,12937484.56916527,-0.0006017715677188837,-0.730267545540351,0.003538955385136313,-0.0015901642238200578,-0.25503158424778216,-0.015867470792598544,0.33438678535557953,-0.5381324085764103,-0.9942347891882932,-0.0005881836713195114,-0.04706617247024659,0.005445501714439088,0.001804515474738354,-0.096116668730359,-0.002500067758646167,0.0020098022390781256
2020-10-01,CO1,0.543508673926481,0.001,0.6359445884317746,-0.9969583350446158,0.14620340162309378,0.14799945770976353,-0.11016916387597309,0.8936602575334437,1.080392228100104,False,3.1556337463726685,0.2372057810332329,0.06999826190593135,0.006391214463554192,0.0037686779111449457,0.0016859319819596012,0.00023742569042381421,3.6113123762068895e-06,873819.1044240711,-0.02239365633594631,0.18019214374227988,-0.06805108745907801,0.030690950800458514,0.9190490827187217,0.33926635962645535,0.012306034707610157,0.039396862991016635,-0.7875677150745001,0.10530827540492893,0.18712788678943332,-0.009271316202413917,0.012660325418596578,-0.11115690124933367,0.5557026614175388,-0.1105570872607057
2020-11-02,CO1,1.0411112793584358,0.3348693719187388,2.0,-0.9467652918038018,0.3734233816476925,0.011979833022302157,0.015411099676239494,1.1947308326070247,2.098333128321676,False,59.03761194631623,0.8671235945575363,0.04352136019998284,0.004126705132656847,0.0003361443193206319,7.408037222298693e-06,-3.074553131050155e-05,-0.002452744625069612,7969400.014434191,0.006167412204038716,0.030465538307667184,-0.005200881090997482,0.008114545848856182,0.009905738318556184,-0.993611195688814,-0.033151255626061346,-0.1023747106686963,0.048417860511935265,0.22693724159903642,-0.03768403063810858,0.005953509946886015,0.02853812180173335,-0.09688802651775615,0.2815754178682821,0.924777399532921
2020-12-01,CO1,1.0403840245574825,0.31582798095559333,2.0,-0.8598766130511221,0.25429057958493134,0.12980011066375047,0.0038855765531890757,1.2735739738118708,1.2369158879304407,False,10436151563.920597,6182357245.114417,1614932264.9618442,1046953092.7911208,141235963.23341343,96481268.39019261,62612932.3572206,26107322.340596158,399.7404033922189,-1.8505974606973738e-07,-1.449410449883004e-06,5.587603469954551e-07,-1.958537624913972e-06,-9.18282391002565e-06,-0.0006328373564274542,0.9999997993898407,-2.542734238896752e-05,-1.3614401650601763e-06,-6.675007514639342e-07,0.9999999999073063,-5.885022327571783e-06,-1.4416307108923017e-06,-7.28138408229526e-07,-5.595539842956426e-07,-1.2063709012867097e-05
